file_path,line,matched_text,classification
run_analysis.py,15,"blowout_radius_microns,",radiation-pressure blowout variable
run_analysis.py,54,"blowout_sizes = [blowout_radius_microns(s[""luminosity_solar""], s[""stellar_mass_solar""]) for s in samples]",radiation-pressure blowout variable
run_analysis.py,64,"(""radiation_blowout_radius"", blowout_sizes, ""micron; compact-grain model""),",minimum/physical grain-size label
run_analysis.py,107,"blowout_diameter = 2.0 * values[""radiation_blowout_radius""][0]",radiation-pressure blowout variable
run_analysis.py,108,minimum_to_blowout_diameter_ratio = 15.0 / blowout_diameter,minimum/physical grain-size label
run_analysis.py,109,blowout_to_minimum_diameter_ratio = blowout_diameter / 15.0,minimum/physical grain-size label
run_analysis.py,142,"width, grain size, and temperature all affect the output.",minimum/physical grain-size label
run_analysis.py,171,"emissivity, composition, and grain-size distribution dominate the physical uncertainty.",minimum/physical grain-size label
run_analysis.py,175,"The propagated blowout **radius** is {values[""radiation_blowout_radius""][0]:.3f} μm",radiation-pressure blowout variable
run_analysis.py,178,{blowout_diameter:.3f} μm. It is not an observed grain size. Lawler et al.'s preferred,minimum/physical grain-size label
run_analysis.py,179,"physical-grain model found a minimum grain diameter of 15±8 μm, so its central value is",minimum/physical grain-size label
run_analysis.py,180,{minimum_to_blowout_diameter_ratio:.1f} times the nominal model blowout diameter,minimum/physical grain-size label
run_analysis.py,181,(D_blow/D_min={blowout_to_minimum_diameter_ratio:.3f}). This comparison uses diameters,minimum/physical grain-size label
run_analysis.py,182,consistently and illustrates why a simple blowout scale should not be identified with the,radiation-pressure blowout variable
run_analysis.py,183,observed minimum grain size.,minimum/physical grain-size label
run_sed_analysis.py,93,"labels = {""single_mbb"": ""A: one modified blackbody"", ""two_temperature"": ""B: two temperature"", ""broad_belt"": ""C: broad radial temperature""}",grain-size occurrence
run_sed_analysis.py,120,"""Model A is one modified blackbody (fixed λ₀=210 μm, β=1); Model B is a two-temperature sum with ordered temperatures; Model C integrates modified-blackbody emission across 1--55 au with a free inner edge and a grain-temperature scale. SciPy bounded least squares supplies an initial optimisation onl",minimum/physical grain-size label
parse_debris_table_a1.py,242,"target-level contamination/binarity flags, so those fields remain blank.",grain-size occurrence
parse_debris_table_a1.py,280,"""contamination_flag"": """",",grain-size occurrence
parse_debris_table_a1.py,296,"""published_excess_flag"", ""upper_limit_flag"", ""contamination_flag"",",grain-size occurrence
run_debris_comparison.py,56,"raise RuntimeError(f""SIMBAD block count {len(blocks)} does not match {len(targets)} Table-A1 targets"")",grain-size occurrence
run_debris_comparison.py,312,"""passes_contamination_filter"": ""not_assessed_source_has_no_flag"",",grain-size occurrence
run_debris_comparison.py,331,"""passes_contamination_filter"": ""not_assessed_source_has_no_flag"",",grain-size occurrence
run_debris_comparison.py,486,"report = [""# DEBRIS fractional-luminosity validation"", """", ""## Key findings"", """", f""- The recovered author source supplies 275 targets and 47 published excess labels. The strict common-PACS catalogue contains {len(debris_records)} stars with an exact identifier, Vican age, Gaia parallax/luminosity/m",grain-size occurrence
run_archive_identification.py,131,"""schedblock_name,scan_intent,science_observation,t_min,t_max,t_exptime,pwv,""",grain-size occurrence
run_archive_identification.py,168,"""schedblock_name"": row[""schedblock_name""],",grain-size occurrence
README.md,60,"- Radiation-pressure blowout sizes are compact-grain model outputs, not observed sizes.",minimum/physical grain-size label
run_collisional_geometry_audit.py,47,"""blowout_diameter_um"": positive_normal(rng, 1.2, 0.3, N_DRAWS, 0.1),",radiation-pressure blowout variable
run_collisional_geometry_audit.py,62,"blowout_diameter_um=prior[""blowout_diameter_um""][index, None],",radiation-pressure blowout variable
run_collisional_geometry_audit.py,82,"age_myr=7630.0, blowout_diameter_um=1.2, largest_body_km=100.0,",radiation-pressure blowout variable
run_collisional_geometry_audit.py,95,"6.0, 55.0, 0.0, prior[""stellar_mass_solar""], prior[""age_myr""], prior[""blowout_diameter_um""],",radiation-pressure blowout variable
run_collisional_geometry_audit.py,115,"for parameter, spec in ((""f_obs"", ""SED posterior samples""), (""age_myr"", ""truncated Normal(7630,870); lower 4000""), (""stellar_mass_solar"", ""truncated Normal(0.783,0.012)""), (""blowout_diameter_um"", ""truncated Normal(1.2,0.3); model assumption""), (""largest_body_km"", ""log-uniform(1,2000)""), (""disruption",fixed 20 um substitution
